id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>
681	Mobile communication	0	0	1	0	0	2
682	Circadian rhythm	0	0	1	0	0	1
683	Servers	0	0	1	0	0	2
684	Global Positioning System	0	0	1	0	0	1
685	Parkinson's disease	0	0	1	0	0	1
686	Frequency measurement	0	0	1	0	0	1
687	Harmonic analysis	0	0	1	0	0	2
688	Iterative methods	0	0	1	0	0	1
689	Noise	0	0	1	0	0	2
690	Stability criteria	0	0	1	0	0	1
691	Thermal stability	0	0	1	0	0	1
692	Communities	0	0	1	0	0	7
693	Perception	0	0	1	0	0	1
694	Heart rate measurement	0	0	1	0	0	2
695	Video retrieval	0	0	1	0	0	1
696	Social intelligence	0	0	1	0	0	1
697	Angular velocity	0	0	1	0	0	1
698	Infants	0	0	1	0	0	1
699	Displacement measurement	0	0	1	0	0	1
700	Research and development	0	0	1	0	0	1
701	Timbre	0	0	1	0	0	1
702	Educational institutions	0	0	1	0	0	12
703	Sea measurements	0	0	1	0	0	1
704	Linear discriminant analysis	0	0	1	0	0	1
705	Picture archiving and communication systems	0	0	1	0	0	1
706	Time factors	0	0	1	0	0	1
707	Cost accounting	0	0	1	0	0	1
708	Solids	0	0	1	0	0	2
709	Snow	0	0	1	0	0	1
710	Environmental factors	0	0	1	0	0	1
711	Bandwidth	0	0	1	0	0	1
712	Distributed processing	0	0	1	0	0	1
713	Speech coding	0	0	1	0	0	2
714	User interfaces	0	0	1	0	0	4
715	Music information retrieval	0	0	1	0	0	1
716	Biomedical image processing	0	0	1	0	0	1
717	Hyperspectral imaging	0	0	1	0	0	1
718	Lenses	0	0	1	0	0	1
719	Process control	0	0	1	0	0	2
720	Joints	0	0	1	0	0	3
721	Transforms	0	0	1	0	0	1
722	System-on-chip	0	0	1	0	0	1
723	Accuracy	0	0	1	0	0	10
724	Materials	0	0	1	0	0	3
725	Tracking	0	0	1	0	0	2
726	Data acquisition	0	0	1	0	0	1
727	Feedback loop	0	0	1	0	0	1
728	Radio frequency	0	0	1	0	0	1
729	Lead	0	0	1	0	0	1
730	Machine vision	0	0	1	0	0	1
731	Surface topography	0	0	1	0	0	1
732	Visual perception	0	0	1	0	0	1
733	Vectors	0	0	1	0	0	3
734	Storage area networks	0	0	1	0	0	1
735	Additives	0	0	1	0	0	1
736	Energy states	0	0	1	0	0	1
737	Attitude control	0	0	1	0	0	1
738	Energy measurement	0	0	1	0	0	1
739	Handheld computers	0	0	1	0	0	1
740	Audio recording	0	0	1	0	0	1
741	Availability	0	0	1	0	0	1
742	Differential equations	0	0	1	0	0	1
743	Multiresolution analysis	0	0	1	0	0	1
744	Low pass filters	0	0	1	0	0	1
745	Encryption	0	0	1	0	0	1
746	Skin conductance levels	0	0	1	0	0	1
747	Business process re-engineering	0	0	1	0	0	1
748	Senior citizens	0	0	1	0	0	1
749	Computer industry	0	0	1	0	0	1
750	Content management	0	0	1	0	0	1
751	Inference algorithms	0	0	1	0	0	2
752	Man machine systems	0	0	1	0	0	3
753	Content awareness	0	0	1	0	0	1
754	Partitioning algorithms	0	0	1	0	0	1
755	Entertainment	0	0	1	0	0	1
756	Information processing	0	0	1	0	0	1
757	Humans	0	0	1	0	0	16
758	Filling	0	0	1	0	0	1
759	Psychoacoustic models	0	0	1	0	0	1
760	Transfer functions	0	0	1	0	0	1
761	Real time systems	0	0	1	0	0	4
762	Prosthetics	0	0	1	0	0	1
763	Association rules	0	0	1	0	0	1
764	Semantic Web	0	0	1	0	0	1
765	Mobile computing	0	0	1	0	0	1
766	IEEE Transactions on Affective Computing	0	0	1	0	0	2
767	Viterbi algorithm	0	0	1	0	0	1
768	Consumer electronics	0	0	1	0	0	1
769	Motorcycles	0	0	1	0	0	1
770	Software agents	0	0	1	0	0	1
771	System analysis and design	0	0	1	0	0	1
772	Wires	0	0	1	0	0	1
773	Web pages	0	0	1	0	0	1
774	Web and internet services	0	0	1	0	0	1
775	Video equipment	0	0	1	0	0	1
776	Quantum cascade lasers	0	0	1	0	0	1
777	Content distribution networks	0	0	1	0	0	1
778	Adaptation model	0	0	1	0	0	1
779	Three dimensional displays	0	0	1	0	0	1
780	Thermal analysis	0	0	1	0	0	1
781	Customer service	0	0	1	0	0	1
782	Subspace constraints	0	0	1	0	0	1
783	Temperature	0	0	1	0	0	1
784	Galvanizing	0	0	1	0	0	1
785	Patient monitoring	0	0	1	0	0	1
786	Phase detection	0	0	1	0	0	1
787	Books	0	0	1	0	0	1
788	Design for experiments	0	0	1	0	0	1
789	Application software	0	0	1	0	0	1
790	Frequency	0	0	1	0	0	1
791	Biology computing	0	0	1	0	0	1
792	Temperature distribution	0	0	1	0	0	2
793	MOSFET circuits	0	0	1	0	0	2
794	Electrons	0	0	1	0	0	2
795	Degradation	0	0	1	0	0	2
796	High-K gate dielectrics	0	0	1	0	0	2
797	High K dielectric materials	0	0	1	0	0	2
798	Voltage	0	0	1	0	0	2
799	Chemicals	0	0	1	0	0	2
800	Hot carriers	0	0	1	0	0	2
801	Computer displays	0	0	1	0	0	1
802	Physics computing	0	0	1	0	0	1
803	Natural languages	0	0	1	0	0	1
