Keyword1,Keyword2,Weight
Task analysis,Taxonomy,1
Annotations,Sentiment analysis,2
Oral communication,Sentiment analysis,1
Brain,Convolution,1
Brain,Convolutional neural networks,1
Brain,Electroencephalography,3
Brain,Emotion recognition,3
Brain,Feature extraction,3
Brain,Kernel,1
Convolution,Convolutional neural networks,3
Convolution,Kernel,1
Convolutional neural networks,Kernel,1
Electroencephalography,Kernel,1
Emotion recognition,Kernel,3
Feature extraction,Kernel,3
Acoustics,Hidden Markov models,6
Acoustics,Semisupervised learning,1
Acoustics,Training,7
Benchmark testing,Emotion recognition,2
Benchmark testing,Feature extraction,1
Benchmark testing,Hidden Markov models,1
Benchmark testing,Semisupervised learning,1
Benchmark testing,Training,2
Emotion recognition,Semisupervised learning,2
Feature extraction,Semisupervised learning,1
Hidden Markov models,Semisupervised learning,2
Semisupervised learning,Training,3
Deep learning,Logic gates,1
Deep learning,Robustness,2
Deep learning,Shape,1
Face recognition,Logic gates,1
Face recognition,Robustness,5
Logic gates,Robustness,1
Logic gates,Shape,1
Robustness,Shape,2
Robustness,Task analysis,2
Shape,Training,2
Adaptation models,Australia,1
Adaptation models,Speech recognition,5
Australia,Generators,1
Australia,Speech recognition,3
Generators,Speech recognition,2
Dementia,Depression,1
Dementia,Emotion recognition,1
Dementia,Older adults,1
Dementia,Robot sensing systems,1
Dementia,Robots,1
Dementia,Sentiment analysis,1
Depression,Older adults,1
Depression,Robot sensing systems,1
Depression,Robots,1
Emotion recognition,Older adults,1
Emotion recognition,Robot sensing systems,1
Emotion recognition,Robots,8
Older adults,Robot sensing systems,2
Older adults,Robots,2
Older adults,Sentiment analysis,1
Robot sensing systems,Sentiment analysis,1
Robots,Sentiment analysis,1
Computational modeling,Portable computers,1
Data models,Portable computers,1
Gold,Portable computers,1
Gold,Sentiment analysis,1
Atmospheric measurements,Estimation,2
Atmospheric measurements,Sensors,2
Atmospheric measurements,Space missions,1
Atmospheric measurements,Wearable computers,1
Atmospheric measurements,Wearable sensors,1
Estimation,Particle measurements,2
Estimation,Sensors,2
Estimation,Space missions,1
Estimation,Wearable computers,1
Estimation,Wearable sensors,2
Particle measurements,Sensors,1
Particle measurements,Space missions,1
Particle measurements,Wearable computers,1
Particle measurements,Wearable sensors,1
Sensors,Space missions,1
Space missions,Wearable computers,1
Space missions,Wearable sensors,1
Wearable computers,Wearable sensors,1
Compounds,Data mining,1
Compounds,Lattices,1
Compounds,Speech recognition,1
Compounds,Syntactics,1
Compounds,Task analysis,1
Compounds,Training,1
Data mining,Lattices,1
Data mining,Speech recognition,2
Lattices,Speech recognition,1
Lattices,Syntactics,1
Lattices,Task analysis,1
Lattices,Training,1
Speech recognition,Syntactics,1
Artificial intelligence,Context modeling,2
Artificial intelligence,Convolutional neural networks,1
Artificial intelligence,Semantics,1
Context modeling,Convolutional neural networks,1
Context modeling,Ethics,1
Context modeling,Semantics,8
Convolutional neural networks,Ethics,1
Convolutional neural networks,Semantics,1
Ethics,Semantics,1
Data models,Deep learning,3
Data models,Semisupervised learning,1
Databases,Deep learning,6
Databases,Reliability,3
Databases,Semisupervised learning,1
Deep learning,Reliability,1
Deep learning,Semisupervised learning,1
Noise measurement,Reliability,1
Noise measurement,Semisupervised learning,1
Reliability,Semisupervised learning,1
Reliability,Training,3
Computer science,Context modeling,2
Computer science,Emotion recognition,2
Computer science,Knowledge based systems,1
Computer science,Oral communication,1
Computer science,Psychology,5
Computer science,Semantics,2
Context modeling,Knowledge based systems,3
Context modeling,Psychology,3
Emotion recognition,Knowledge based systems,2
Knowledge based systems,Oral communication,2
Knowledge based systems,Psychology,2
Knowledge based systems,Semantics,2
Oral communication,Psychology,1
Oral communication,Semantics,2
Psychology,Semantics,3
Commonsense reasoning,Context modeling,1
Commonsense reasoning,Emotion recognition,1
Commonsense reasoning,Knowledge based systems,1
Commonsense reasoning,Knowledge engineering,1
Commonsense reasoning,Oral communication,1
Commonsense reasoning,Transformers,1
Context modeling,Knowledge engineering,1
Context modeling,Transformers,2
Emotion recognition,Knowledge engineering,2
Knowledge based systems,Knowledge engineering,1
Knowledge based systems,Transformers,1
Knowledge engineering,Oral communication,1
Knowledge engineering,Transformers,1
Oral communication,Transformers,1
Blogs,Boosting,1
Blogs,Decision trees,1
Blogs,Depression,3
Blogs,Prediction algorithms,1
Boosting,Decision trees,1
Boosting,Depression,1
Boosting,Feature extraction,1
Boosting,Prediction algorithms,1
Boosting,Social networking (online),1
Decision trees,Depression,1
Decision trees,Feature extraction,2
Decision trees,Prediction algorithms,1
Decision trees,Social networking (online),1
Depression,Prediction algorithms,1
Feature extraction,Prediction algorithms,2
Prediction algorithms,Social networking (online),1
Annotations,Government,1
Annotations,Irrigation,1
Annotations,Video recording,1
Cameras,Feature extraction,8
Cameras,Government,1
Cameras,Irrigation,1
Cameras,Video recording,2
Cameras,Visualization,2
Feature extraction,Government,1
Feature extraction,Irrigation,1
Feature extraction,Video recording,2
Government,Irrigation,1
Government,Video recording,1
Government,Visualization,1
Irrigation,Video recording,1
Irrigation,Visualization,1
Video recording,Visualization,1
Biomedical monitoring,Computational modeling,2
Biomedical monitoring,Media,1
Brain modeling,Videos,3
Media,Physiology,1
Media,Videos,5
Physiology,Videos,12
Biological system modeling,Biometrics (access control),1
Biological system modeling,Computational modeling,7
Biological system modeling,Skin,1
Biological system modeling,Tactile sensors,1
Biometrics (access control),Computational modeling,1
Biometrics (access control),Emotion recognition,1
Biometrics (access control),Skin,1
Biometrics (access control),Tactile sensors,1
Biometrics (access control),Training,1
Computational modeling,Skin,2
Computational modeling,Tactile sensors,1
Emotion recognition,Skin,2
Emotion recognition,Tactile sensors,1
Skin,Tactile sensors,1
Skin,Training,1
Tactile sensors,Training,1
Convolutional neural networks,Faces,2
Convolutional neural networks,IEEE Sections,1
Convolutional neural networks,Videos,1
Emotion recognition,IEEE Sections,1
Face recognition,IEEE Sections,1
Faces,IEEE Sections,1
IEEE Sections,Task analysis,1
IEEE Sections,Videos,1
Adaptation models,Convolutional neural networks,1
Adaptation models,Estimation,1
Adaptation models,Muscles,1
Adaptation models,Psychology,4
Convolutional neural networks,Estimation,1
Convolutional neural networks,Muscles,1
Convolutional neural networks,Psychology,1
Estimation,Muscles,1
Estimation,Psychology,1
Feature extraction,Muscles,2
Muscles,Psychology,3
Acoustics,Speech recognition,15
Acoustics,Transfer learning,1
Brain modeling,Data mining,2
Computational modeling,Convolution,4
Computational modeling,Convolutional neural networks,3
Convolution,Data mining,2
Data mining,Electroencephalography,2
Acoustics,Customer satisfaction,1
Acoustics,Diseases,1
Acoustics,Linguistics,4
Acoustics,Mood,1
Customer satisfaction,Depression,1
Customer satisfaction,Diseases,1
Customer satisfaction,Feature extraction,1
Customer satisfaction,Linguistics,1
Customer satisfaction,Mood,1
Depression,Diseases,1
Depression,Linguistics,3
Depression,Mood,3
Diseases,Feature extraction,1
Diseases,Linguistics,1
Diseases,Mood,1
Feature extraction,Linguistics,5
Feature extraction,Mood,10
Linguistics,Mood,1
Face recognition,Head,6
Feature extraction,Head,5
Head,Image recognition,3
Head,Task analysis,2
Head,Transformers,1
Head,Visualization,2
Image recognition,Task analysis,4
Image recognition,Visualization,5
Affective computing,Annotations,2
Affective computing,Databases,9
Affective computing,Social networking (online),1
Annotations,Computational modeling,5
Computational modeling,Databases,16
Computational modeling,Social networking (online),3
Databases,Sentiment analysis,2
Databases,Social networking (online),2
Computational modeling,Heating systems,1
Computational modeling,Knowledge engineering,1
Correlation,Estimation,2
Correlation,Heating systems,2
Correlation,Knowledge engineering,1
Correlation,Training,4
Estimation,Heating systems,2
Estimation,Knowledge engineering,1
Estimation,Training,3
Heating systems,Knowledge engineering,1
Heating systems,Training,1
Knowledge engineering,Training,3
Accelerometers,Biomedical monitoring,1
Accelerometers,Electrocardiography,1
Accelerometers,Heart rate variability,1
Accelerometers,Logic gates,1
Accelerometers,Monitoring,1
Accelerometers,Task analysis,1
Biomedical monitoring,Electrocardiography,4
Biomedical monitoring,Logic gates,1
Biomedical monitoring,Task analysis,1
Electrocardiography,Heart rate variability,8
Electrocardiography,Logic gates,1
Electrocardiography,Monitoring,2
Electrocardiography,Task analysis,2
Heart rate variability,Logic gates,1
Heart rate variability,Monitoring,2
Logic gates,Monitoring,1
Monitoring,Task analysis,3
Acoustics,Neural networks,2
Acoustics,Speaker recognition,1
Emotion recognition,Speaker recognition,1
Feature extraction,Speaker recognition,1
Neural networks,Speaker recognition,1
Speaker recognition,Speech recognition,1
Speaker recognition,Task analysis,1
Affective computing,Encoding,2
Affective computing,Systematics,2
Computational modeling,Encoding,5
Computational modeling,Systematics,2
Databases,Encoding,10
Databases,Systematics,2
Emotion recognition,Encoding,9
Encoding,Physiology,2
Encoding,Systematics,2
Physiology,Systematics,2
Autism,Computer vision,2
Autism,Heuristic algorithms,1
Autism,Motion pictures,3
Autism,Mouth,1
Autism,Prediction algorithms,1
Computer vision,Heuristic algorithms,1
Computer vision,Motion pictures,3
Computer vision,Mouth,1
Computer vision,Pediatrics,2
Computer vision,Prediction algorithms,1
Heuristic algorithms,Motion pictures,1
Heuristic algorithms,Mouth,1
Heuristic algorithms,Pediatrics,1
Heuristic algorithms,Prediction algorithms,1
Motion pictures,Mouth,1
Motion pictures,Pediatrics,3
Motion pictures,Prediction algorithms,1
Mouth,Pediatrics,1
Mouth,Prediction algorithms,1
Pediatrics,Prediction algorithms,1
Computational modeling,Natural language processing,1
Convolutional neural networks,Natural language processing,1
Convolutional neural networks,Predictive models,2
Emotion recognition,Natural language processing,2
Natural language processing,Predictive models,1
Natural language processing,Task analysis,1
Natural language processing,Training,1
Anxiety disorders,Electroencephalography,1
Anxiety disorders,Neurofeedback,1
Anxiety disorders,Real-time systems,1
Anxiety disorders,Task analysis,1
Anxiety disorders,Training,1
Electroencephalography,Neurofeedback,1
Electroencephalography,Real-time systems,5
Electroencephalography,Regulation,1
Neurofeedback,Real-time systems,1
Neurofeedback,Regulation,1
Neurofeedback,Task analysis,1
Neurofeedback,Training,1
Real-time systems,Regulation,1
Real-time systems,Task analysis,4
Real-time systems,Training,1
Regulation,Task analysis,2
Regulation,Training,1
Affective computing,Measurement,1
Affective computing,Reliability,3
Face recognition,Measurement,4
Face recognition,Speech recognition,7
Measurement,Reliability,1
Reliability,Speech recognition,1
Biological system modeling,Convolution,1
Biological system modeling,Feature extraction,3
Biological system modeling,Reliability,1
Convolution,Reliability,1
Affective computing,Context modeling,2
Affective computing,Sociology,2
Affective computing,Statistics,2
Affective computing,Urban areas,1
Analytical models,Sociology,1
Analytical models,Statistics,1
Analytical models,Urban areas,1
Context modeling,Sociology,1
Context modeling,Statistics,1
Context modeling,Urban areas,1
Predictive models,Sociology,1
Predictive models,Statistics,1
Predictive models,Urban areas,1
Sociology,Urban areas,1
Statistics,Urban areas,1
Acoustic distortion,Correlation,1
Acoustic distortion,Databases,1
Acoustic distortion,Emotion recognition,1
Acoustic distortion,Nonlinear distortion,1
Acoustic distortion,Semantics,1
Acoustic distortion,Training,1
Correlation,Databases,2
Correlation,Nonlinear distortion,1
Correlation,Semantics,3
Databases,Nonlinear distortion,1
Databases,Semantics,4
Emotion recognition,Nonlinear distortion,1
Nonlinear distortion,Semantics,1
Nonlinear distortion,Training,1
Deep learning,Encoding,2
Deep learning,Optical network units,1
Deep learning,Strain,1
Deep learning,Training data,4
Encoding,Face recognition,13
Encoding,Optical network units,1
Encoding,Strain,1
Encoding,Training data,1
Face recognition,Optical network units,1
Face recognition,Strain,3
Feature extraction,Optical network units,1
Feature extraction,Strain,2
Optical network units,Strain,1
Optical network units,Training data,1
Strain,Training data,1
Euclidean distance,Face recognition,1
Euclidean distance,Image recognition,1
Euclidean distance,Measurement,1
Euclidean distance,Neural networks,1
Euclidean distance,Task analysis,1
Euclidean distance,Training,1
Face recognition,Neural networks,4
Image recognition,Measurement,1
Image recognition,Neural networks,1
Measurement,Neural networks,1
Databases,Interviews,1
Databases,Neural networks,3
Databases,Visualization,10
Deep learning,Interviews,1
Deep learning,Visualization,4
Face recognition,Interviews,2
Interviews,Neural networks,2
Neural networks,Visualization,3
Biomedical monitoring,Visualization,3
Physiology,Wearable computers,2
Visualization,Wearable computers,1
Computational modeling,Speech recognition,10
Brain modeling,Support vector machines,4
Data models,Electroencephalography,6
Data models,Support vector machines,4
Electroencephalography,Support vector machines,8
Appraisal,Emotion recognition,4
Appraisal,Encoding,1
Appraisal,Faces,2
Appraisal,Feature extraction,3
Appraisal,Gold,1
Appraisal,Training,1
Encoding,Faces,1
Encoding,Gold,5
Encoding,Training,6
Adaptation models,Atmospheric measurements,1
Adaptation models,Games,1
Adaptation models,Load modeling,1
Adaptation models,Particle measurements,1
Adaptation models,Real-time systems,1
Atmospheric measurements,Games,8
Atmospheric measurements,Load modeling,1
Atmospheric measurements,Real-time systems,1
Games,Load modeling,1
Games,Particle measurements,7
Games,Real-time systems,2
Load modeling,Particle measurements,1
Load modeling,Real-time systems,1
Load modeling,Task analysis,2
Particle measurements,Real-time systems,2
Brain modeling,Brakes,1
Brain modeling,Fatigue,1
Brakes,Convolutional neural networks,1
Brakes,Data models,1
Brakes,Electroencephalography,1
Brakes,Fatigue,1
Brakes,Feature extraction,1
Convolutional neural networks,Fatigue,1
Data models,Fatigue,1
Electroencephalography,Fatigue,1
Fatigue,Feature extraction,1
Acoustics,Planning,1
Acoustics,Semantics,4
Acoustics,Switches,1
Context modeling,Planning,1
Context modeling,Switches,1
Context modeling,Visualization,2
Planning,Semantics,1
Planning,Switches,1
Planning,Task analysis,2
Planning,Visualization,1
Semantics,Switches,2
Switches,Task analysis,2
Switches,Visualization,1
Electrocardiography,Heart,1
Electrocardiography,Support vector machines,3
Emotion recognition,Heart,1
Feature extraction,Heart,1
Heart,Heart rate variability,1
Heart,Physiology,1
Heart,Support vector machines,1
Distance measurement,Emotion recognition,2
Distance measurement,Feature extraction,1
Distance measurement,High performance computing,1
Distance measurement,Physiology,1
Distance measurement,Videos,1
Distance measurement,Visualization,1
Emotion recognition,High performance computing,1
Feature extraction,High performance computing,1
High performance computing,Physiology,1
High performance computing,Videos,1
High performance computing,Visualization,1
Animation,Face recognition,5
Animation,Faces,2
Animation,Generative adversarial networks,1
Animation,Heating systems,1
Animation,Measurement,1
Animation,Task analysis,1
Face recognition,Generative adversarial networks,2
Face recognition,Heating systems,1
Faces,Heating systems,1
Faces,Measurement,2
Generative adversarial networks,Heating systems,1
Generative adversarial networks,Measurement,1
Heating systems,Measurement,1
Heating systems,Task analysis,2
Affective computing,Computer vision,1
Affective computing,Magnetic heads,2
Computer vision,Magnetic heads,1
Computer vision,Observers,3
Computer vision,Psychology,6
Feature extraction,Magnetic heads,5
Feature extraction,Observers,7
Magnetic heads,Observers,1
Magnetic heads,Psychology,1
Magnetic heads,Videos,2
Observers,Psychology,7
Correlation,Gold,3
Correlation,Image recognition,1
Correlation,Learning systems,1
Face recognition,Learning systems,2
Feature extraction,Learning systems,6
Gold,Image recognition,3
Image recognition,Learning systems,1
Autism,Interviews,1
Autism,Support vector machines,2
Autism,Videos,1
Autism,Visualization,2
Behavioral sciences,Support vector machines,1
Behavioral sciences,Videos,3
Interviews,Support vector machines,2
Interviews,Variable speed drives,1
Interviews,Videos,5
Support vector machines,Variable speed drives,1
Support vector machines,Videos,3
Support vector machines,Visualization,6
Variable speed drives,Videos,1
Variable speed drives,Visualization,2
Brain modeling,Multisensory integration,1
Data mining,Multisensory integration,1
Data mining,Support vector machines,1
Emotion recognition,Multisensory integration,1
Feature extraction,Multisensory integration,1
Multisensory integration,Support vector machines,1
Multisensory integration,Visualization,1
Depression,Pediatrics,1
Depression,Pregnancy,1
Feature extraction,Pediatrics,4
Feature extraction,Pregnancy,1
Mood,Pediatrics,1
Mood,Predictive models,8
Mood,Pregnancy,1
Mood,Social networking (online),1
Pediatrics,Predictive models,1
Pediatrics,Pregnancy,1
Pediatrics,Social networking (online),1
Predictive models,Pregnancy,1
Predictive models,Social networking (online),3
Pregnancy,Social networking (online),1
Automation,Calibration,1
Automation,Decision making,1
Automation,Drones,1
Automation,Reliability engineering,1
Automation,Robots,1
Automation,Task analysis,1
Calibration,Decision making,1
Calibration,Drones,1
Calibration,Reliability engineering,1
Calibration,Robots,1
Calibration,Task analysis,1
Decision making,Drones,1
Decision making,Reliability engineering,1
Decision making,Robots,2
Decision making,Task analysis,1
Drones,Reliability engineering,1
Drones,Robots,1
Drones,Task analysis,2
Reliability engineering,Robots,1
Reliability engineering,Task analysis,1
Robots,Task analysis,2
Brain modeling,Computer architecture,1
Computer architecture,Convolutional neural networks,4
Computer architecture,Electroencephalography,1
Blogs,Correlation,1
Blogs,Mirrors,1
Blogs,Tools,1
Correlation,Mirrors,1
Correlation,Social networking (online),2
Correlation,Tools,1
Feature extraction,Mirrors,1
Feature extraction,Tools,3
Mirrors,Social networking (online),1
Mirrors,Task analysis,1
Mirrors,Tools,1
Social networking (online),Tools,2
Task analysis,Tools,4
Marine vehicles,Physiology,1
Marine vehicles,Receivers,1
Marine vehicles,Rubber,1
Marine vehicles,Skin,1
Marine vehicles,Stress,1
Marine vehicles,Visualization,1
Physiology,Receivers,2
Physiology,Rubber,1
Receivers,Rubber,1
Receivers,Skin,1
Receivers,Stress,1
Receivers,Visualization,1
Rubber,Skin,1
Rubber,Stress,1
Rubber,Visualization,1
Skin,Stress,2
Skin,Visualization,3
Stress,Visualization,3
Databases,Dictionaries,1
Databases,Testing,2
Dictionaries,Encoding,2
Dictionaries,Face recognition,4
Dictionaries,Testing,1
Dictionaries,Training,4
Dictionaries,Transfer learning,1
Encoding,Testing,2
Encoding,Transfer learning,1
Face recognition,Testing,3
Face recognition,Transfer learning,2
Testing,Transfer learning,1
Depression,Histograms,2
Depression,Psychology,1
Feature extraction,Histograms,10
Histograms,Interviews,1
Histograms,Psychology,1
Histograms,Task analysis,2
Histograms,Videos,1
Interviews,Psychology,3
Diseases,Emotion recognition,1
Diseases,Guidelines,1
Diseases,Pathology,1
Diseases,Protocols,1
Diseases,Systematics,1
Diseases,Tools,1
Emotion recognition,Pathology,2
Emotion recognition,Protocols,4
Emotion recognition,Tools,1
Guidelines,Pathology,1
Guidelines,Protocols,1
Guidelines,Systematics,1
Guidelines,Tools,1
Pathology,Protocols,1
Pathology,Systematics,1
Pathology,Tools,1
Protocols,Systematics,2
Protocols,Tools,1
Systematics,Tools,1
Affective computing,Cameras,3
Cameras,Speech recognition,1
Cameras,Videos,6
Speech recognition,Videos,4
Cognition,Convolution,1
Cognition,Emotion recognition,5
Cognition,Face recognition,4
Cognition,Streaming media,1
Convolution,Face recognition,3
Convolution,Semantics,1
Convolution,Streaming media,1
Emotion recognition,Streaming media,5
Face recognition,Streaming media,2
Feature extraction,Streaming media,3
Semantics,Streaming media,1
Annotations,Mood,1
Annotations,Music,1
Annotations,Semantics,2
Computational modeling,Mood,14
Computational modeling,Music,7
Computational modeling,Reliability,6
Emotion recognition,Music,9
Mood,Music,5
Mood,Reliability,2
Mood,Semantics,2
Music,Reliability,2
Music,Semantics,3
Reliability,Semantics,2
Databases,Faces,2
Character recognition,Convolutional neural networks,1
Character recognition,Data mining,1
Character recognition,Face recognition,1
Character recognition,Facial features,1
Character recognition,Feature extraction,1
Character recognition,Three-dimensional displays,1
Convolutional neural networks,Facial features,1
Data mining,Face recognition,3
Data mining,Facial features,1
Data mining,Three-dimensional displays,2
Face recognition,Facial features,10
Facial features,Feature extraction,8
Facial features,Three-dimensional displays,3
Atmospheric measurements,Computational modeling,5
Atmospheric measurements,Films,1
Atmospheric measurements,Media,1
Atmospheric measurements,Mood,2
Atmospheric measurements,Videos,4
Computational modeling,Films,1
Computational modeling,Particle measurements,4
Films,Media,2
Films,Mood,1
Films,Particle measurements,1
Films,Videos,3
Media,Mood,3
Mood,Particle measurements,2
Mood,Videos,6
Particle measurements,Videos,4
Databases,Electronic mail,2
Databases,Motion pictures,6
Electroencephalography,Electronic mail,2
Electronic mail,Feature extraction,4
Electronic mail,Motion pictures,1
Electronic mail,Physiology,3
Computational modeling,Legged locomotion,1
Computer architecture,Data models,1
Computer architecture,Hidden Markov models,1
Computer architecture,Legged locomotion,1
Data models,Hidden Markov models,6
Data models,Legged locomotion,1
Emotion recognition,Legged locomotion,7
Hidden Markov models,Legged locomotion,1
Hidden Markov models,Videos,4
Legged locomotion,Videos,1
Face recognition,Frequency locked loops,1
Face recognition,Location awareness,1
Faces,Frequency locked loops,1
Faces,Head,1
Faces,Location awareness,1
Faces,Strain,1
Frequency locked loops,Head,1
Frequency locked loops,Location awareness,1
Frequency locked loops,Strain,1
Frequency locked loops,Three-dimensional displays,1
Head,Location awareness,1
Head,Strain,1
Head,Three-dimensional displays,1
Location awareness,Strain,1
Location awareness,Three-dimensional displays,1
Strain,Three-dimensional displays,1
Australia,Deep learning,2
Australia,Neurons,1
Australia,Principal component analysis,1
Deep learning,Neurons,1
Deep learning,Principal component analysis,1
Emotion recognition,Neurons,2
Emotion recognition,Principal component analysis,3
Neurons,Principal component analysis,1
Neurons,Speech recognition,1
Neurons,Task analysis,2
Principal component analysis,Speech recognition,2
Principal component analysis,Task analysis,2
Animals,Appraisal,2
Animals,Biological system modeling,1
Animals,Dictionaries,1
Animals,Games,1
Animals,Intelligent agents,1
Appraisal,Biological system modeling,2
Appraisal,Dictionaries,1
Appraisal,Intelligent agents,1
Biological system modeling,Dictionaries,1
Biological system modeling,Faces,1
Biological system modeling,Games,3
Biological system modeling,Intelligent agents,1
Dictionaries,Faces,1
Dictionaries,Games,1
Dictionaries,Intelligent agents,1
Faces,Games,1
Faces,Intelligent agents,1
Games,Intelligent agents,1
Annotations,Games,4
Annotations,Observers,2
Annotations,Sun,1
Databases,Games,4
Databases,Observers,4
Databases,Sun,1
Emotion recognition,Observers,4
Emotion recognition,Sun,1
Games,Sun,1
Observers,Physiology,3
Observers,Sun,1
Physiology,Sun,1
Depression,Feeds,1
Depression,Mental health,2
Depression,Multimedia Web sites,1
Feature extraction,Feeds,1
Feature extraction,Mental health,2
Feature extraction,Multimedia Web sites,1
Feeds,Mental health,1
Feeds,Multimedia Web sites,1
Feeds,Social networking (online),1
Feeds,Visualization,1
Mental health,Multimedia Web sites,1
Mental health,Visualization,2
Convolution,Electrodes,2
Computer science,Data mining,1
Computer science,Feature extraction,3
Computer science,Sentiment analysis,1
Computer science,Task analysis,1
Data mining,Semantics,3
Brain modeling,Faces,2
Brain modeling,Monitoring,1
Depression,Monitoring,2
Electrodes,Faces,1
Electrodes,Monitoring,1
Electroencephalography,Faces,2
Electroencephalography,Monitoring,3
Faces,Monitoring,1
Data mining,Databases,3
Data mining,Machine learning algorithms,1
Data mining,Magnetic heads,1
Databases,Machine learning,5
Databases,Machine learning algorithms,1
Databases,Magnetic heads,3
Feature extraction,Machine learning algorithms,2
Machine learning,Machine learning algorithms,2
Machine learning,Magnetic heads,1
Machine learning,Training,4
Machine learning algorithms,Magnetic heads,1
Machine learning algorithms,Training,1
Magnetic heads,Training,1
Acceleration,Atmospheric measurements,1
Acceleration,Fetal heart rate,1
Acceleration,Games,1
Acceleration,Heart rate,3
Acceleration,Particle measurements,1
Acceleration,Physiology,2
Atmospheric measurements,Fetal heart rate,1
Atmospheric measurements,Heart rate,4
Fetal heart rate,Games,1
Fetal heart rate,Heart rate,1
Fetal heart rate,Particle measurements,1
Fetal heart rate,Physiology,1
Games,Heart rate,2
Heart rate,Particle measurements,4
Heart rate,Physiology,8
Acoustics,Auditory system,1
Acoustics,Automobiles,1
Acoustics,Modulation,2
Auditory system,Automobiles,1
Auditory system,Linguistics,1
Auditory system,Modulation,1
Auditory system,Speech recognition,1
Auditory system,Visualization,2
Automobiles,Linguistics,1
Automobiles,Modulation,1
Automobiles,Speech recognition,1
Automobiles,Visualization,1
Linguistics,Modulation,1
Linguistics,Speech recognition,4
Modulation,Speech recognition,3
Modulation,Visualization,1
Adaptation models,Faces,1
Adaptation models,Generative adversarial networks,2
Adaptation models,Image recognition,1
Feature extraction,Generative adversarial networks,2
Generative adversarial networks,Image recognition,1
Current measurement,Heart rate variability,2
Current measurement,Information systems,1
Current measurement,Particle measurements,3
Current measurement,Physiology,3
Current measurement,Real-time systems,1
Heart rate variability,Information systems,1
Heart rate variability,Particle measurements,2
Heart rate variability,Real-time systems,1
Information systems,Particle measurements,1
Information systems,Physiology,1
Information systems,Real-time systems,1
Information systems,Task analysis,1
Physiology,Real-time systems,2
Annotations,Head,2
Annotations,Image recognition,1
Annotations,Magnetic heads,1
Annotations,Pose estimation,1
Face recognition,Magnetic heads,3
Face recognition,Pose estimation,2
Head,Magnetic heads,2
Head,Pose estimation,1
Image recognition,Magnetic heads,2
Image recognition,Pose estimation,1
Magnetic heads,Pose estimation,1
Magnetic heads,Task analysis,2
Pose estimation,Task analysis,1
Blogs,Medical services,1
Blogs,Recurrent neural networks,1
Depression,Recurrent neural networks,1
Linguistics,Medical services,1
Linguistics,Recurrent neural networks,1
Medical services,Recurrent neural networks,1
Recurrent neural networks,Social networking (online),2
Recurrent neural networks,Task analysis,2
Bayes methods,Roads,1
Bayes methods,Safety,1
Bayes methods,Vehicles,1
Bayes methods,Videos,2
Physiology,Roads,1
Physiology,Safety,2
Roads,Safety,1
Roads,Task analysis,1
Roads,Videos,1
Safety,Task analysis,2
Safety,Vehicles,1
Safety,Videos,1
Task analysis,Vehicles,1
Vehicles,Videos,1
Cognition,Context modeling,2
Cognition,Sentiment analysis,2
Cognition,Syntactics,1
Context modeling,Market research,1
Market research,Sentiment analysis,1
Market research,Syntactics,1
Emotion recognition,Image reconstruction,2
Emotion recognition,Supervised learning,1
Image reconstruction,Speech recognition,1
Image reconstruction,Supervised learning,1
Image reconstruction,Task analysis,1
Image reconstruction,Training,1
Image reconstruction,Visualization,2
Speech recognition,Supervised learning,1
Supervised learning,Task analysis,2
Supervised learning,Training,2
Supervised learning,Visualization,2
Correlation,Heat transfer,1
Correlation,Transfer learning,1
Estimation,Heat transfer,1
Estimation,Transfer learning,1
Gold,Heat transfer,1
Gold,Heating systems,1
Gold,Transfer learning,1
Heat transfer,Heating systems,1
Heat transfer,Task analysis,1
Heat transfer,Transfer learning,1
Heating systems,Transfer learning,1
Correlation,Faces,1
Correlation,Image sequences,1
Correlation,Three-dimensional displays,2
Face recognition,Image sequences,2
Faces,Image sequences,1
Feature extraction,Image sequences,1
Image sequences,Task analysis,1
Image sequences,Three-dimensional displays,1
Batteries,Computer architecture,1
Batteries,Feature extraction,1
Batteries,Semantics,1
Batteries,Sentiment analysis,1
Batteries,Syntactics,1
Batteries,Task analysis,1
Computer architecture,Semantics,2
Computer architecture,Sentiment analysis,5
Computer architecture,Syntactics,2
Emotion recognition,Indexes,1
Emotion recognition,Rhythm,1
Feature extraction,Indexes,3
Feature extraction,Rhythm,1
Indexes,Machine learning,2
Indexes,Psychology,1
Indexes,Rhythm,1
Machine learning,Psychology,5
Machine learning,Rhythm,1
Psychology,Rhythm,2
Databases,Image segmentation,1
Databases,Three-dimensional displays,3
Databases,Two dimensional displays,1
Depression,Image segmentation,1
Depression,Two dimensional displays,1
Feature extraction,Two dimensional displays,1
Image segmentation,Spatiotemporal phenomena,1
Image segmentation,Three-dimensional displays,1
Image segmentation,Two dimensional displays,1
Spatiotemporal phenomena,Three-dimensional displays,2
Spatiotemporal phenomena,Two dimensional displays,1
Three-dimensional displays,Two dimensional displays,2
Biomedical imaging,Databases,1
Biomedical imaging,Encoding,1
Biomedical imaging,Face recognition,1
Biomedical imaging,Hospitals,1
Biomedical imaging,Pain,1
Biomedical imaging,Pediatrics,1
Databases,Hospitals,2
Databases,Pain,4
Databases,Pediatrics,1
Encoding,Hospitals,1
Encoding,Pain,3
Encoding,Pediatrics,2
Face recognition,Hospitals,1
Face recognition,Pain,7
